Club	DefenceScore	AttackScore	PossessionScore	OverallPerformanceScore	League	ClubCode	Season	SquadValue	FinalRound	UniqueName	SquadValue(Million)	ClubManager	Win	Draw	Loss	sum	img
Real Madrid	178.98	297.04	206.3	682.32	Spanish La Liga	RMA	2015-16	£608.18m	Winner	RMA15	608.18		10	2	1	13	real_madrid_logo.svg
Barcelona	123.67	293.63	185.42	602.72	Spanish La Liga	FCB	2015-16	£558.88m	Quarter-finals	FCB15	558.88	Luis Enrique	7	2	1	10	barcelona_logo.png
Atletico Madrid	175.95	192.65	31.14	399.74	Spanish La Liga	ATL	2015-16	£289.43m	Final	ATL15	289.43	Diego Simeone	7	2	4	13	AtleticoLogo.svg
Valencia	109.04	144.3	-18.21	235.13	Spanish La Liga	VAL	2015-16	£223.13m	Group Stage	VAL15	223.13		2	0	4	6	ValenciaLogo.svg
Sevilla	51.49	216.69	76.65	344.83	Spanish La Liga	SEV	2015-16	£146.20m	Group Stage	SEV15	146.2		2	0	4	6	SevillaLogo.svg
Manchester City	56.4	191.61	74.78	322.79	English Premier League	MC	2015-16	£408.72m	Semi-finals	MC15	408.72	Manuel Pellegrini	6	3	3	12	ManCityLogo.svg
Manchester Utd	32.71	181.53	91.37	305.61	English Premier League	MUN	2015-16	£320.66m	Group Stage	MUN15	320.66		2	2	2	6	manunited.png
Chelsea	127.3	251.59	34.99	413.88	English Premier League	CHE	2015-16	£451.99m	Round of 16	CHE15	451.99	Jose Mourinho	4	1	3	8	ChelseaLogo.svg
Arsenal	96.28	283.95	26.14	406.37	English Premier League	ARS	2015-16	£341.70m	Round of 16	ARS15	341.7	Arsene Wenger	3	0	5	8	ArsenalLogo.svg
Paris Saint-Germain	191.56	257.64	226.21	675.41	French Ligue 1	PSG	2015-16	£343.10m	Quarter-finals	PSG15	343.1	Laurent Blanc	6	2	2	10	psg2.png
Lyon	125.12	189.57	74.75	389.44	French Ligue 1	LYO	2015-16	£145.01m	Group Stage	LYO15	145.01		1	1	4	6	LyonnaisLogo.svg
Bayern Munich	64.02	327.98	242.37	634.37	German Bundesliga	BAY	2015-16	£475.36m	Semi-finals	BAY15	475.36	Pep Guardiola	7	3	2	12	BayernMunichLogo.svg
Bayer Leverkusen	33.88	310.27	-47.31	296.84	German Bundesliga	LEV	2015-16	£160.78m	Group Stage	LEV15	160.78		1	3	2	6	LeverkusenLogo.svg
Borussia Mönchengladbach	-24.58	258.54	17.69	251.65	German Bundesliga	MGB	2015-16	£122.74m	Group Stage	MGB15	122.74		1	2	3	6	MonchenLogo.svg
Wolfsburg	138.74	168.81	12.92	320.47	German Bundesliga	WOL	2015-16	£174.80m	Quarter-finals	WOL15	174.8		7	0	3	10	WolfsburgLogo.svg
Juventus	152.69	214.99	44.94	412.62	Italian Serie A	JUV	2015-16	£329.89m	Round of 16	JUV15	329.89		3	4	1	8	JuventusLogo.svg
Roma	32.61	179.02	-26.63	185.00	Italian Serie A	ROM	2015-16	£219.81m	Round of 16	ROM15	219.81		1	3	4	8	RomaLogo.svg
Benfica	125	248.32	-4.45	368.87	Portuguese Liga Nos	BEN	2015-16	£130.31m	Quarter-finals	BEN15	130.31		5	2	3	10	BenficaLogo.svg
Porto	62.93	335.21	31.34	429.48	Portuguese Liga Nos	POR	2015-16	£140.21m	Group Stage	POR15	140.21		3	1	2	6	PortoLogo.svg
Real Madrid	30.8	189.4	100	320.20	Spanish La Liga	RMA	2016-17	£653.91m	TBD	RMA16	653.91		3	2	0	5	real_madrid_logo.svg
Barcelona	31.2	180.8	82.4	294.20	Spanish La Liga	FCB	2016-17	£643.03m	TBD	FCB16	643.03	Luis Enrique	4	0	1	5	barcelona_logo.png
Atletico Madrid	172.2	107.8	62.8	342.80	Spanish La Liga	ATL	2016-17	£419.05m	TBD	ATL16	419.05	Diego Simeone	5	0	0	5	AtleticoLogo.svg
Sevilla	133.2	119.4	47.8	300.40	Spanish La Liga	SEV	2016-17	£174.25m	TBD	SEV16	174.25		3	1	1	5	SevillaLogo.svg
Manchester City	-7.8	161	40.6	193.80	English Premier League	MC	2016-17	£440.30m	TBD	MC16	440.3	Pep Guardiola	2	2	1	5	ManCityLogo.svg
Tottenham Hotspur	77.2	80.8	-4.8	153.20	English Premier League	TOT	2016-17	£314.93m	TBD	MUN16	314.93		1	1	3	5	HotspurLogo.svg
Leicester City	76.2	77.8	-52.2	101.80	English Premier League	LEI	2016-17	£178.93m	TBD	CHE16	178.93		4	1	0	5	LeceisterLogo.svg
Arsenal	69.8	177.4	77.4	324.60	English Premier League	ARS	2016-17	£398.23m	TBD	ARS16	398.23	Arsene Wenger	3	2	0	5	ArsenalLogo.svg
Paris Saint-Germain	46.8	134.4	101.6	282.80	French Ligue 1	PSG	2016-17	£350.75m	TBD	PSG16	350.75		3	2	0	5	psg2.png
Lyon	107.8	99.6	48.6	256.00	French Ligue 1	LYO	2016-17	£145.52m	TBD	LYO16	145.52		2	1	2	5	LyonnaisLogo.svg
Monaco	125.2	123	-2.8	245.60	French Ligue 1	MON	2016-17	£139.36m	TBD	MON16	139.36		3	2	0	5	monaco.png
Bayern Munich	89.4	170	184.8	444.20	German Bundesliga	BAY	2016-17	£494.89m	TBD	BAY16	494.89	Carlos Ancelotti	3	0	2	5	BayernMunichLogo.svg
Borussia Dortmund	75.6	222	72.6	370.20	German Bundesliga	DOR	2016-17	£288.58m	TBD	DOR16	288.58		4	1	0	5	BVBLogo.svg
Bayer Leverkusen	147.6	90	-48.2	189.60	German Bundesliga	LEV	2016-17	£215.73m	TBD	LEV16	215.73		1	4	0	5	LeverkusenLogo.svg
Borussia Mönchengladbach	24.2	77	-15.8	85.40	German Bundesliga	MGB	2016-17	£140.76m	TBD	MGB16	140.76		1	2	2	5	MonchenLogo.svg
Juventus	93.2	100.2	68.6	262.00	Italian Serie A	JUV	2016-17	£363.80m	TBD	JUV16	363.8		3	2	0	5	JuventusLogo.svg
Napoli	-0.4	118	74	191.60	Italian Serie A	NAP	2016-17	£251.49m	TBD	NAP16	251.49		2	2	1	5	napoli.png
Benfica	47.2	122.6	-20.2	149.60	Portuguese Liga Nos	BEN	2016-17	£156.53m	TBD	BEN16	156.53		2	2	1	5	BenficaLogo.svg
Porto 	104.6	109.8	-9.4	205.20	Portuguese Liga Nos	POR	2016-17	£145.65m	TBD	POR16	145.65		2	2	1	5	PortoLogo.svg
Sporting CP	29.8	60.4	3.2	93.20	Portuguese Liga Nos	SCP	2016-17	£152.15m	TBD	SCP16	152.15		1	0	4	5	SportingLogo.png
Real Madrid	102.8	181.95	114.13	398.88	Spanish La Liga	RMA	2014-15	£572.05m	Semi-finals	RMA14	572.05	Carlos Ancelotti	8	2	2	12	real_madrid_logo.svg
Barcelona	69.25	188.72	119.83	377.80	Spanish La Liga	FCB	2014-15	£519.35m	Winner	FCB14	519.35	Luis Enrique	11	0	2	13	barcelona_logo.png
Atletico Madrid	89.32	116.34	-24.59	181.07	Spanish La Liga	ATL	2014-15	£266.48m	Quarter-finals	ATL14	266.48	Diego Simeone	5	2	3	10	AtleticoLogo.svg
Athletic Bilbao	78.1	72.95	-64.45	86.60	Spanish La Liga	ATH	2014-15	£96.99m	Group Stage	ATH14	96.99		2	1	3	6	BilbaoLogo.svg
Manchester City	-17.02	129.6	58.65	171.23	English Premier League	MC	2014-15	£375.06m	Round of 16	MC14	375.06	Manuel Pellegrini	2	2	4	8	ManCityLogo.svg
Chelsea	73.07	205.11	62.87	341.05	English Premier League	CHE	2014-15	£378.04m	Round of 16	CHE14	378.04	Jose Mourinho	4	4	0	8	ChelseaLogo.svg
Liverpool	3.03	91.2	41.79	136.02	English Premier League	LIV	2014-15	£281.78m	Group Stage	LIV14	281.78		1	2	3	6	LiverpoolLogo.svg
Arsenal	91.95	158.37	48.59	298.91	English Premier League	ARS	2014-15	£349.61m	Round of 16	ARS14	349.61	Arsene Wenger	5	1	2	8	ArsenalLogo.svg
Paris Saint-Germain	26.25	118.55	81.86	226.66	French Ligue 1	PSG	2014-15	£333.54m	Quarter-finals	PSG14	333.54	Laurent Blanc	4	3	3	10	psg2.png
Monaco	116.88	75.6	-74.82	117.66	French Ligue 1	MON	2014-15	£113.69m	Quarter-finals	MON14	113.69		4	3	3	10	monaco.png
Bayern Munich	20.85	185.31	124.06	330.22	German Bundesliga	BAY	2014-15	£479.70m	Semi-finals	BAY14	479.7	Pep Guardiola	8	1	3	12	BayernMunichLogo.svg
Borussia Dortmund	50.48	130.46	28.69	209.63	German Bundesliga	DOR	2014-15	£292.78m	Round of 16	DOR14	292.78	Jurger Klopp	4	1	3	8	BVBLogo.svg
Bayer Leverkusen	63.7	95.96	-83.39	76.27	German Bundesliga	LEV	2014-15	£150.32m	Round of 16	LEV14	150.32		4	2	2	8	LeverkusenLogo.svg
Schalke 04	12.73	114.11	45.87	172.71	German Bundesliga	SCH	2014-15	£177.01m	Round of 16	SCH14	177.01		3	2	3	8	schalke.png
Juventus	85.56	96.28	23.53	205.37	Italian Serie A	JUV	2014-15	£279.65m	Final	JUV14	279.65		7	3	3	13	JuventusLogo.svg
Roma	26.76	113.21	40.08	180.05	Italian Serie A	ROM	2014-15	£209.44m	Group Stage	ROM14	209.44		1	2	3	6	RomaLogo.svg
Benfica	77.38	69.62	-34.69	112.31	Portuguese Liga Nos	BEN	2014-15	£152.79m	Group Stage	BEN14	152.79		1	2	3	6	BenficaLogo.svg
Porto 	107.14	153.1	9	269.24	Portuguese Liga Nos	POR	2014-15	£167.88m	Quarter-finals	POR14	167.88		6	3	1	10	PortoLogo.svg
Sporting CP	2.62	137.1	19.98	159.70	Portuguese Liga Nos	SCP	2014-15	£119.43m	Group Stage	SCP14	119.43		2	1	3	6	SportingLogo.png
Real Madrid	87.84	217.54	62.94	368.32	Spanish La Liga	RMA	2013-14	£485.78m	Winner	RMA13	485.78	Carlos Ancelotti	11	1	1	13	real_madrid_logo.svg
Barcelona	82.21	159.06	159.93	401.20	Spanish La Liga	FCB	2013-14	£499.21m	Quarter-finals	FCB13	499.21		6	2	2	10	barcelona_logo.png
Atletico Madrid	97.86	132.57	-35.74	194.69	Spanish La Liga	ATL	2013-14	£195.93m	Final	ATL13	195.93	Diego Simeone	9	3	1	13	AtleticoLogo.svg
Real Sociedad	30.31	38.73	0.33	69.37	Spanish La Liga	RSO	2013-14	£93.08m	Group Stage	RSO13	93.08		0	1	5	6	SociedadLogo.svg
Manchester City	-28.33	149.47	28.07	149.21	English Premier League	MC	2013-14	£399.29m	Quarter-finals	MC13	399.29	Manuel Pellegrini	5	0	3	8	ManCityLogo.svg
Manchester United	102.95	111.37	-13.45	200.87	English Premier League	MUN	2013-14	£350.41m	Quarter-finals	MUN13	350.41		5	3	2	10	manunited.png
Chelsea	95.79	141.53	15.51	252.83	English Premier League	CHE	2013-14	£404.39m	Semi-finals	CHE13	404.39	Jose Mourinho	6	2	4	12	ChelseaLogo.svg
Arsenal	80.45	89.2	22.38	192.03	English Premier League	ARS	2013-14	£291.13m	Quarter-finals	ARS13	291.13	Arsene Wenger	4	1	3	8	ArsenalLogo.svg
Paris Saint-Germain	94.61	160.8	100.2	355.61	French Ligue 1	PSG	2013-14	£306.64m	Quarter-finals	PSG13	306.64	Laurent Blanc	7	1	2	10	psg2.png
Marseille	-11.76	86.22	-13.91	60.55	French Ligue 1	MAR	2013-14	£112.58m	Group Stage	MAR13	112.58		0	0	6	6	MarseilleLogo.svg
Bayern Munich	71.06	180.49	170.68	422.23	German Bundesliga	BAY	2013-14	£411.10m	Semi-finals	BAY13	411.1	Pep Guardiola	7	2	3	12	BayernMunichLogo.svg
Borussia Dortmund	51.35	121.7	-19.79	153.26	German Bundesliga	DOR	2013-14	£244.84m	Quarter-finals	DOR13	244.84	Jurger Klopp	6	0	4	10	BVBLogo.svg
Bayer Leverkusen	4.15	76.43	7.55	88.13	German Bundesliga	LEV	2013-14	£113.14m	Quarter-finals	LEV13	113.14		3	1	4	8	LeverkusenLogo.svg
Schalke 04	29.82	98.69	6.23	134.74	German Bundesliga	SCH	2013-14	£154.53m	Quarter-finals	SCH13	154.53		3	1	4	8	schalke.png
Juventus	-12	137.77	50.44	176.21	Italian Serie A	JUV	2013-14	£291.64m	Group Stage	JUV13	291.64		1	3	2	6	JuventusLogo.svg
Napoli	63.38	111.12	-18.07	156.43	Italian Serie A	NAP	2013-14	£191.89m	Group Stage	NAP13	191.89		4	0	2	6	napoli.png
A.C. Milan	68.54	66.32	-24.06	110.80	Italian Serie A	MIL	2013-14	£188.28m	Quarter-finals	MIL13	188.28		2	3	1	6	MilanLogo.svg
Benfica	55.23	77.88	-25.45	107.66	Portuguese Liga Nos	BEN	2013-14	£196.65m	Group Stage	BEN13	196.65		3	1	2	6	BenficaLogo.svg
Porto	30.48	109.55	45.22	185.25	Portuguese Liga Nos	POR	2013-14	£159.46m	Group Stage	POR13	159.46		1	2	3	6	PortoLogo.svg